Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780949604,5,,Aggregated,0.000000,0.000000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,2,0,17000,17654.310655496374,16581.114720996993,18727.506589995755,281.0
1780949605,5,,Aggregated,0.000000,0.000000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,2,0,17000,17654.310655496374,16581.114720996993,18727.506589995755,281.0
1780949606,5,,Aggregated,0.000000,0.000000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,2,0,17000,17654.310655496374,16581.114720996993,18727.506589995755,281.0
1780949607,5,,Aggregated,0.000000,0.000000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,2,0,17000,17654.310655496374,16581.114720996993,18727.506589995755,281.0
1780949608,5,,Aggregated,0.100000,0.000000,19000,19000,30000,30000,30000,30000,30000,30000,30000,30000,30000,3,0,19000,21682.44892199679,16581.114720996993,29738.72545499762,281.0
1780949609,5,,Aggregated,0.100000,0.000000,19000,19000,30000,30000,30000,30000,30000,30000,30000,30000,30000,3,0,19000,21682.44892199679,16581.114720996993,29738.72545499762,281.0
1780949610,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949611,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949612,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949613,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949614,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949615,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949616,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949617,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949618,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949619,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949620,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949621,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949622,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,4,0,19000,24145.0603437479,16581.114720996993,31532.894609001232,281.0
1780949623,5,,Aggregated,0.000000,0.000000,30000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,6,0,19000,25879.92515849813,14679.520601996046,44019.78897400113,281.0
1780949624,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949625,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949626,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949627,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949628,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949629,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949630,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
